variant,top_decile_det20_all,ic_all,top_decile_det20_train_era,ic_train_era,top_decile_det20_test_era,ic_test_era
BQ=35% (current),8.5,-0.133,7.0,-0.141,11.7,-0.115
BQ=25%,10.1,-0.11,7.2,-0.12,15.8,-0.09
BQ=15%,11.6,-0.076,9.6,-0.088,15.4,-0.055
BQ=5%,14.5,-0.03,11.1,-0.045,20.6,-0.008
BQ=0%,16.3,-0.004,12.9,-0.02,22.7,0.017
BQ->mover_base swap (35%),37.6,0.364,33.4,0.343,43.7,0.392
