ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	ma_20	ma_50	ma_100	ma_200	sma_distance_pct	rs_leadership	rs_spy_20d	structure	structure_shift	day_vol	flow	energy	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_context.vcp.base_range_pct	elder_context.vcp.vcp_tightness_pct	elder_pattern	mp_accel_state	rs_down_day_20d	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
SU	102	False	XLE	Energy	Momentum Fading — Hold, Don't Add	65.09	61.27	63.2	56.87	11.67	LEADER	0.34	71.6	BULLISH_BOS	0.46	65.8	80.7	68.42	null	null	False	null	NONE	False	False	14.2	33.7	SUSTAINED	DECELERATING	1.32	BEARISH	1	66.75	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
F	178	False	XLY	Consumer Discretionary	Momentum Fading — Hold, Don't Add	14.3	14.16	13.71	13.46	1.78	IN-LINE	-3.35	50.5	RANGE	0.91	63.2	51.5	14.41	null	null	False	null	NONE	False	False	16.9	30.4	INTERRUPTED	ACCELERATING	0.03	NONE	0	13.94	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
NTNX	14	False	XLK	Technology	Momentum Fading — Hold, Don't Add	62.95	56.17	50.18	48.88	20.41	LEADER	19.27	73.7	RANGE	1.27	75.0	71.4	67.64	null	null	False	null	NONE	False	False	21.2	23.2	null	ACCELERATING	0.44	NONE	0	65.52	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
RIO	111	False	XLB	Materials	Momentum Fading — Hold, Don't Add	98.41	96.25	99.01	91.62	9.41	LEADER	11.81	61.1	ABOVE_STRUCTURE	1.31	72.4	73.1	105.3	102.56	fib_618	True	2.6	null	null	null	15.7	60.4	ACCELERATION	null	0.83	null	null	102.8	null
FRSH	78	False	XLK	Technology	Momentum Fading — Hold, Don't Add	12.0	10.8	9.78	10.1	20.13	LEADER	22.76	66.3	ABOVE_STRUCTURE	0.47	63.2	65.5	12.98	null	null	False	null	null	null	null	23.0	37.0	null	null	0.63	null	null	12.43	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
MRNA	12	False	XLV	Healthcare	Momentum Fading — Hold, Don't Add	72.57	67.6	58.58	48.73	114.68	LAGGARD	164.79	55.2	ABOVE_STRUCTURE	4.39	93.4	68.1	145.13	null	null	False	null	NONE	False	False	108.1	88.7	CORRECTION_REENTRY	ACCELERATING	-2.86	NONE	0	130.25	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
B	27	False	XLB	Materials	Momentum Fading — Hold, Don't Add	40.74	38.86	40.17	42.0	22.5	LEADER	24.64	86.7	null	1.04	73.7	61.3	47.6	null	null	False	null	NONE	False	False	29.6	47.6	CORRECTION_REENTRY	FLAT	0.99	NONE	0	45.93	no valid bracket — no structural resistance above price
KR	179	False	XLP	Consumer Staples	Momentum Fading — Hold, Don't Add	57.25	58.16	62.51	64.39	-0.45	LEADER	-1.81	36.8	BEARISH_CHOCH	0.94	56.6	58.2	57.9	56.28	swing_low_3	True	2.8	NONE	True	False	9.8	52.6	ACCUMULATION_BASE	ACCELERATING	0.28	NONE	0	56.42	null
BFLY	129	True	null	null	null	8.57	7.81	6.21	4.86	22.36	LEADER	41.51	61.1	RANGE	0.87	44.7	80.7	9.55	null	null	False	null	NONE	False	False	41.4	27.9	null	ACCELERATING	0.63	BEARISH	5	8.9	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
PBR	152	False	XLE	Energy	Momentum Fading — Hold, Don't Add	18.44	17.76	19.0	16.75	7.81	LEADER	-1.6	65.3	BEARISH_CHOCH	1.1	61.8	74.8	19.15	18.44	ma20	True	3.71	NONE	False	False	10.0	72.7	ACCELERATION	DECELERATING	1.14	BEARISH	2	18.65	null
