ticker	rank	held	structure	structure_shift	sma_distance_pct	atr_14d	atr_caution	day_vol	mp_state	mp_accel_state	lens	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_pattern	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
NVS	157	False	58.9	BULLISH_BOS	2.94	3.16	False	0.75	BUILDING	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""strong"", ""insti_money"": ""strong"", ""structure"": ""strong"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	158.86	155.48	ma20	True	2.13	NONE	False	False	ACCELERATION	NONE	0	155.7	null
CART	113	False	73.7	RANGE	7.23	1.92	False	0.7	STRONG	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	49.83	47.65	ma20	True	4.37	NONE	False	False	null	BEARISH	1	47.91	null
HOG	41	False	82.1	RANGE	8.74	0.98	False	0.98	STRONG	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""warn"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	28.2	null	null	False	null	NONE	False	False	CORRECTION_REENTRY	NONE	0	27.22	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
KO	34	False	71.6	BULLISH_BOS	8.05	1.61	False	0.98	STRONG	ACCELERATING	"{""leadership"": ""ok"", ""coil"": ""ok"", ""insti_money"": ""strong"", ""structure"": ""strong"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	91.1	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	89.49	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
BSY	25	False	93.7	BEARISH_CHOCH	13.2	1.53	False	0.58	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""ok"", ""structure"": ""warn"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	37.08	null	null	False	null	NONE	True	False	INTERRUPTED	NONE	0	35.55	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
WBD	28	False	81.1	ABOVE_STRUCTURE	6.79	0.49	False	0.67	STRONG	null	"{""leadership"": ""--"", ""coil"": ""--"", ""insti_money"": ""--"", ""structure"": ""ok"", ""resistance"": ""--"", ""extension"": null, ""sector"": ""strong""}"	28.55	null	null	False	null	null	null	null	null	null	null	28.06	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
COP	87	False	73.7	ABOVE_STRUCTURE	16.57	3.26	False	1.27	STRONG	DECELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""ok"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	134.87	null	null	False	null	NONE	False	False	SUSTAINED	NONE	0	131.61	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SPOT	156	False	78.9	BULLISH_BOS	9.74	21.71	False	0.7	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""warn"", ""structure"": ""strong"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	533.72	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	512.01	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
GSK	186	False	36.8	RANGE	1.05	1.2	False	0.58	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	52.41	null	null	False	null	NONE	False	False	ACCELERATION	NONE	0	51.21	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
NMRK	122	False	73.7	RANGE	6.02	0.57	False	0.73	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""warn"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""ok""}"	16.21	null	null	False	null	NONE	False	False	ACCELERATION	BULLISH	0	15.64	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
