# DICT bracket.targets fields (in order): type,price,atr_dist,tp,r,date,vol_ratio,vol_validated; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	atr_caution	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	day_vol	lens	lens.coil	lens.insti_money	lens.leadership	lens.resistance	lens.sector	lens.structure	lens_positive	lens_ranking	lens_warnings	mp_accel_state	mp_state	rank	sma_distance_pct	structure	structure_shift
HLT	313.96	1	False	6.16	null	False	1	null	null	null	null	null	R@326.5@2.04@n@n@260806@0.43@F|R@333.78@3.22@n@n@260727@1.02@F|R@342.98@4.71@n@n@260707@0.65@F|R@358.0@7.16@n@n@260617@1.1@F|A@366.08@8.47@n@n@n@n@n|B@376.35@10.14@n@n@n@n@n|D@387.7@11.98@n@n@n@n@n|C@406.05@14.96@n@n@n@n@n	False	0.91	w,s,s,w,s,-,o	strong	strong	warn	strong	ok	warn	3	null	2	1	1	80	-1.25	38.9	2
VIA	29.41	2	False	1.38	34	False	1	null	null	null	null	null	P@30.74@0.96@n@n@n@n@n|A@32.21@2.03@n@n@n@n@n|B@34.09@3.39@n@n@n@n@n|D@36.16@4.89@n@n@n@n@n|C@39.51@7.32@n@n@n@n@n	False	1.0	w,o,w,s,o,-,s	ok	warn	warn	ok	strong	strong	2	null	2	1	2	25	19.05	76.8	3
HON	212.55	1	False	4.62	null	False	1	null	null	null	null	null	R@221.45@1.93@n@n@260828@0.72@F|R@231.82@4.17@n@n@260511@1.12@F|R@251.16@8.36@n@n@260805@0.69@F|A@261.92@10.69@n@n@n@n@n|B@274.53@13.42@n@n@n@n@n|D@288.46@16.44@n@n@n@n@n|C@310.99@21.32@n@n@n@n@n	False	0.56	w,s,s,w,w,-,o	strong	strong	warn	warn	ok	warn	2	null	3	1	2	102	-4.91	28.4	2
DAL	84.94	1	False	2.41	null	False	null	5.03	2.36	0.57	80.67	11	R@87.39@1.02@TP1@0.57@260615@1.32@T|R@95.01@4.18@TP2@2.36@260805@0.77@F|A@100.92@6.64@TP3@3.74@n@n@n|B@107.6@9.41@n@5.31@n@n@n|D@114.96@12.47@n@7.03@n@n@n|C@126.88@17.42@n@9.82@n@n@n	True	1.03	o,o,w,o,w,-,o	ok	warn	ok	warn	ok	ok	0	null	2	1	1	62	1.06	41.1	4
MKSI	260.82	1	False	12.17	27	False	1	null	null	null	null	null	R@270.29@0.78@n@n@260911@0.96@F|R@294.05@2.73@n@n@260424@0.84@F|R@325.24@5.29@n@n@260817@0.77@F|R@341.81@6.65@n@n@260603@0.56@F|P@447.62@15.35@n@n@n@n@n|A@488.32@18.69@n@n@n@n@n|B@540.09@22.95@n@n@n@n@n|D@597.24@27.64@n@n@n@n@n|C@689.71@35.24@n@n@n@n@n	False	0.51	s,s,s,w,w,-,s	strong	strong	strong	warn	strong	warn	4	null	2	1	2	89	-7.77	26.3	2
BETA	23.85	1	False	1.64	null	False	null	7.34	3.09	2.04	22.1	2	R@27.42@2.18@TP1@2.04@260819@0.86@F|A@29.26@3.3@TP2@3.09@n@n@n|B@31.6@4.73@TP3@4.43@n@n@n|D@34.19@6.31@n@5.91@n@n@n|C@38.37@8.86@n@8.3@n@n@n	True	0.46	--,s,w,o,o,-,o	strong	warn	--	ok	ok	ok	1	null	1	1	1	107	10.43	42.1	1
MCHP	78.69	1	False	2.81	28	False	null	5.53	4.81	1.67	74.34	2	R@85.97@2.59@TP1@1.67@260807@1.63@T|R@99.6@7.43@TP2@4.81@260604@0.82@F|R@104.03@9.0@TP3@5.83@260622@0.91@F|R@105.91@9.67@n@6.26@260508@1.74@T|A@116.83@13.55@n@8.77@n@n@n|B@130.73@18.49@n@11.96@n@n@n|D@146.07@23.94@n@15.49@n@n@n|C@170.89@32.75@n@21.2@n@n@n	True	1.14	w,s,o,o,w,-,s	strong	ok	warn	warn	strong	ok	2	null	2	1	1	44	3.36	48.4	1
APLE	16.19	1	False	0.32	28	False	null	2.16	2.49	1.69	15.84	3	R@16.78@1.84@TP1@1.69@260824@0.62@F|R@17.06@2.72@TP2@2.49@260626@1.66@T|R@17.28@3.41@TP3@3.11@260806@2.49@T|A@17.63@4.5@n@4.11@n@n@n|B@18.08@5.91@n@5.4@n@n@n|D@18.57@7.44@n@6.8@n@n@n|C@19.37@9.94@n@9.09@n@n@n	True	0.77	o,o,s,o,s,-,o	ok	strong	ok	strong	ok	ok	2	null	0	1	1	106	0.26	40.0	1
P	126.0	1	False	7.01	46	False	1	null	null	null	null	null	P@131.41@0.77@n@n@n@n@n|A@142.06@2.29@n@n@n@n@n|B@155.6@4.22@n@n@n@n@n|D@170.55@6.35@n@n@n@n@n|C@194.74@9.8@n@n@n@n@n	False	0.85	o,o,w,o,s,-,o	ok	warn	ok	strong	ok	ok	1	null	1	1	1	55	31.22	67.4	1
PLTR	189.67	2	False	6.88	25	False	1	null	null	null	null	null	P@194.68@0.73@n@n@n@n@n|A@202.88@1.92@n@n@n@n@n|B@213.3@3.43@n@n@n@n@n|D@224.81@5.11@n@n@n@n@n|C@243.43@7.81@n@n@n@n@n	False	0.64	w,o,o,s,s,-,s	ok	ok	warn	strong	strong	strong	3	null	1	1	1	11	15.7	78.9	3
