# DICT rs_leadership: 1=IN-LINE; 2=LAGGARD; 3=LEADER
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=radar-premove; 4=radar-runner
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.price	bracket.risk_pct	bracket.stop	bracket.valid	day_vol	gics_sector	lens.coil	lens.sector	lens.structure	ma_200	ma_50	rank	rs_leadership	rvol_20d	sc_momentum	sector_trend_state	sma_distance_pct	structure	structure_shift
DDOG	268.13	1	False	12.57	28	268.13	null	null	False	1.46	XLK	warn	strong	ok	181.72	242.7	86	3	1.44	49.3	2	10.48	42.1	1
TEVA	39.19	2	False	1.25	26	39.19	3.19	37.94	True	0.72	XLV	warn	ok	ok	33.44	36.1	33	3	0.73	66.4	1	8.56	66.3	1
KLAC	187.92	1	False	7.89	null	187.92	5.07	178.4	True	0.74	XLK	strong	strong	warn	175.94	188.89	88	1	0.74	48.3	2	-0.51	42.1	2
TSM	450.61	2	False	10.51	null	450.61	4.13	431.99	True	0.64	XLK	warn	strong	strong	383.17	420.18	20	3	0.66	68.8	2	7.24	74.7	3
OKTA	195.19	2	False	9.91	46	195.19	7.26	181.02	True	0.83	XLK	warn	strong	ok	109.17	158.19	26	3	0.96	67.8	2	23.39	55.8	1
MXL	93.84	2	False	6.54	null	93.84	null	null	False	1.51	XLK	--	strong	ok	51.72	71.44	15	3	1.45	69.9	2	31.35	61.1	1
PLTR	189.67	2	False	6.88	25	189.67	null	null	False	0.64	XLK	ok	strong	strong	152.02	163.93	11	1	0.67	71.6	2	15.7	78.9	3
WDC	456.81	1	False	27.6	23	456.81	null	null	False	0.89	XLK	strong	strong	warn	393.26	473.94	104	3	0.91	44.5	2	-3.61	26.3	2
BE	288.7	1	False	19.2	null	288.7	null	null	False	1.05	XLI	ok	ok	strong	202.96	229.68	72	3	1.04	54.0	3	25.7	73.5	3
MRNA	198.88	2	False	12.84	28	198.88	null	null	False	0.83	XLV	ok	ok	ok	64.26	110.11	4	3	0.86	76.3	1	80.62	74.7	1
ROST	236.12	1	False	5.08	38	236.12	null	null	False	0.83	XLY	strong	ok	strong	216.58	237.93	105	1	0.84	44.4	3	-0.76	33.7	3
TMO	675.0	2	False	15.8	null	675.0	null	null	False	0.98	XLV	warn	ok	ok	540.22	604.26	30	3	0.96	66.6	1	11.71	73.7	1
SFNC	23.23	1	False	0.45	null	23.23	null	null	False	1.04	XLF	strong	ok	ok	21.3	23.18	85	3	1.01	49.6	3	0.2	46.3	4
GEV	957.63	1	False	37.01	null	957.63	null	null	False	0.58	XLU	strong	ok	ok	910.33	972.9	87	1	0.58	49.1	3	-1.57	44.2	4
EMR	158.23	1	False	3.67	27	158.23	2.62	154.08	True	0.88	XLI	ok	ok	ok	144.09	152.81	53	1	0.87	60.5	3	3.55	46.3	4
AMGN	414.61	1	False	10.6	26	414.61	6.05	389.51	True	0.59	XLV	warn	ok	ok	362.12	404.7	57	2	0.59	58.7	1	2.45	47.4	4
CDNS	326.13	1	False	10.83	null	326.13	4.51	311.43	True	1.0	XLK	warn	strong	warn	325.53	318.38	71	2	1.0	54.6	2	2.44	36.8	2
QQQ	744.5	2	False	9.54	null	744.5	null	null	False	0.91	null	warn	ok	ok	665.59	712.65	29	1	0.91	66.9	null	4.47	68.4	1
APH	84.09	1	False	2.81	22	84.09	null	null	False	0.67	XLK	strong	strong	ok	73.7	80.38	81	1	0.7	51.4	2	4.62	49.5	4
TEM	85.01	2	False	4.83	26	85.01	null	null	False	1.2	XLV	warn	ok	ok	56.25	59.37	24	3	1.19	68.1	1	43.18	70.9	1
INTC	123.0	2	False	6.26	null	123.0	null	null	False	0.91	XLK	warn	strong	ok	79.2	99.05	34	3	0.91	66.0	2	24.18	55.8	1
OUST	43.72	1	False	2.65	26	43.72	null	null	False	1.43	XLK	ok	strong	ok	31.01	38.57	41	1	1.4	64.2	2	13.36	33.7	1
COST	922.77	1	False	15.73	53	922.77	null	null	False	2.09	XLP	warn	ok	warn	960.41	934.45	94	1	1.98	47.0	3	-1.25	35.8	2
HLT	313.96	1	False	6.16	null	313.96	null	null	False	0.91	XLY	strong	ok	warn	315.04	317.94	80	1	0.9	51.7	3	-1.25	38.9	2
UCTT	77.69	1	False	4.63	null	77.69	null	null	False	0.85	XLK	strong	strong	strong	70.48	79.1	91	1	0.84	48.1	2	-1.78	26.3	3
AME	250.74	1	False	5.19	23	250.74	2.54	244.37	True	0.96	XLI	ok	ok	ok	229.04	242.58	50	1	0.94	61.7	3	3.37	53.7	1
ALGM	36.76	1	False	1.81	23	36.76	7.45	34.02	True	1.12	XLK	strong	strong	warn	40.04	39.63	84	2	1.1	50.3	2	-7.23	32.6	2
MSTR	158.61	2	False	8.87	23	158.61	11.05	141.09	True	0.7	XLK	warn	strong	ok	136.54	117.66	22	2	0.74	68.6	2	34.8	64.2	1
RAL	70.03	2	False	2.29	27	70.03	null	null	False	0.79	XLI	--	ok	ok	56.24	67.03	35	3	0.79	65.9	3	4.47	65.3	4
IR	76.08	1	False	2.04	23	76.08	null	null	False	0.98	XLI	strong	ok	warn	81.7	79.84	117	1	0.95	37.7	3	-4.71	31.6	2
DHR	224.49	1	False	5.75	null	224.49	null	null	False	1.13	XLV	warn	ok	strong	201.8	205.89	40	3	1.11	64.4	1	9.03	73.7	3
META	751.66	2	False	27.19	null	751.66	null	null	False	1.14	XLC	warn	strong	ok	626.47	615.75	7	3	1.11	75.1	1	22.07	77.9	1
SNPS	425.76	1	False	15.17	52	425.76	null	null	False	1.08	XLK	warn	strong	ok	445.29	400.7	99	2	1.13	45.8	2	6.25	32.6	4
RKLB	73.95	1	False	3.96	30	73.95	6.03	69.49	True	0.95	XLI	ok	ok	ok	81.09	69.49	45	1	0.93	63.0	3	6.42	48.4	1
GLW	156.74	1	False	8.12	null	156.74	null	null	False	0.64	XLK	strong	strong	warn	148.85	152.78	100	1	0.65	45.7	2	2.59	44.6	2
ILMN	270.0	1	False	11.48	23	270.0	null	null	False	1.32	XLV	warn	ok	ok	159.29	210.8	69	3	1.27	55.4	1	28.09	68.8	1
CRDO	210.97	1	False	13.58	47	210.97	11.9	185.87	True	1.23	XLK	warn	strong	ok	176.17	209.96	96	1	1.19	46.8	2	0.48	30.5	4
MU	1082.28	2	False	47.98	null	1082.28	null	null	False	0.77	XLK	warn	strong	ok	661.1	941.62	12	3	0.78	71.3	2	14.94	74.5	1
TEL	218.59	1	False	6.08	27	218.59	null	null	False	0.68	XLK	ok	strong	ok	214.9	208.03	61	1	0.69	57.5	2	5.08	70.5	1
SNDK	1777.8	2	False	111.61	28	1777.8	6.41	1663.79	True	0.67	XLK	ok	strong	ok	1107.91	1516.76	27	3	0.68	67.3	2	17.21	55.8	4
ASX	44.31	2	False	1.74	23	44.31	null	null	False	0.63	XLK	warn	strong	ok	29.94	38.37	18	3	0.64	69.2	2	15.48	76.8	1
MAR	352.03	1	False	7.17	26	352.03	3.19	340.81	True	0.83	XLY	ok	ok	ok	347.8	352.81	67	1	0.84	55.9	3	-0.22	41.1	4
LITE	941.65	1	False	61.59	26	941.65	null	null	False	0.87	XLK	strong	strong	ok	729.23	859.07	79	3	0.87	51.7	2	9.61	60.8	4
VEEV	280.68	1	False	8.62	42	280.68	3.8	270.02	True	0.88	XLV	ok	ok	ok	199.9	241.67	63	1	1.0	56.9	1	16.14	73.7	1
COHU	67.0	1	False	3.72	23	67.0	null	null	False	0.77	XLK	warn	strong	ok	42.71	53.08	47	3	0.77	62.7	2	26.22	68.4	1
MMM	169.55	1	False	3.44	null	169.55	2.37	165.53	True	0.88	XLI	strong	ok	ok	160.67	173.43	95	1	0.88	47.0	3	-2.24	31.6	4
AMAT	485.0	1	False	20.07	33	485.0	6.84	451.81	True	0.74	XLK	ok	strong	ok	421.42	490.25	77	1	0.75	52.1	2	-1.07	26.3	1
VIA	29.41	2	False	1.38	34	29.41	null	null	False	1.0	XLK	ok	strong	strong	20.63	24.7	25	3	0.98	68.0	2	19.05	76.8	3
LSCC	128.05	1	False	5.72	25	128.05	null	null	False	0.9	XLK	warn	strong	ok	111.17	121.44	60	2	0.89	58.1	2	5.44	36.8	1
ANET	206.55	1	True	7.68	26	206.55	4.83	196.58	True	0.91	XLK	ok	strong	ok	157.04	190.23	52	1	0.91	60.9	2	8.58	76.8	1
AZN	166.58	1	False	3.45	24	166.58	null	null	False	0.62	XLV	strong	ok	strong	182.39	164.03	92	1	0.63	47.7	1	1.56	54.7	3
NXPI	238.08	1	False	7.77	null	238.08	null	null	False	0.73	XLK	strong	strong	warn	245.49	236.04	56	2	0.73	59.3	2	0.86	36.8	2
NTRA	412.56	2	True	13.14	28	412.56	null	null	False	1.14	XLV	warn	ok	ok	244.56	316.5	8	3	1.1	73.9	1	30.35	84.2	1
SRAD	13.24	1	False	0.6	27	13.24	null	null	False	0.57	XLK	strong	strong	warn	16.21	13.3	64	3	0.56	56.8	2	-0.48	46.3	2
VLTO	97.14	1	False	1.75	null	97.14	null	null	False	0.94	XLI	strong	ok	ok	93.07	96.22	97	1	0.92	46.6	3	0.95	44.2	4
DAL	84.94	1	False	2.41	null	84.94	5.03	80.67	True	1.03	XLI	ok	ok	ok	75.44	84.05	62	1	1.01	57.0	3	1.06	41.1	4
ADI	393.6	1	False	11.42	41	393.6	null	null	False	0.68	XLK	warn	strong	ok	356.48	373.19	42	1	0.7	64.0	2	5.47	69.5	1
GE	327.09	1	False	8.65	null	327.09	4.92	311.0	True	1.0	XLI	strong	ok	warn	323.28	344.74	111	2	1.01	43.5	3	-5.12	31.6	2
WRBY	26.71	1	False	1.56	28	26.71	null	null	False	1.27	XLV	strong	ok	ok	25.23	25.44	75	3	1.22	52.3	1	4.98	30.5	1
PEB	18.42	1	False	0.51	23	18.42	null	null	False	1.9	XLRE	strong	ok	ok	15.06	18.45	66	3	1.79	56.1	3	-0.16	40.0	4
DRH	12.49	1	False	0.28	26	12.49	null	null	False	0.68	XLRE	strong	ok	ok	10.81	12.54	101	1	0.68	44.9	3	-0.44	33.7	4
