# DICT bracket.invalid_reason: 1=no valid bracket — no structural resistance above price; 2=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma50; 6=swing_low; 7=swing_low_1; 8=swing_low_2; 9=swing_low_3
# DICT gics_sector_name: 1=Communication Services; 2=Consumer Discretionary; 3=Consumer Staples; 4=Energy; 5=Financials; 6=Healthcare; 7=Industrials; 8=Materials; 9=Real Estate; 10=Technology; 11=Utilities
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT next_earnings_date: 1=2026-09-08; 2=2026-09-10; 3=2026-09-11; 4=2026-09-29; 5=2026-09-30; 6=2026-10-05; 7=2026-10-13; 8=2026-10-14; 9=2026-10-15; 10=2026-10-16; 11=2026-10-19; 12=2026-10-20; 13=2026-10-21; 14=2026-11-05; 15=2026-11-06; 16=2026-11-09; 17=2026-11-10; 18=2026-11-12; 19=2026-11-13; 20=2026-11-17; 21=2026-11-18; 22=2026-11-19; 23=2026-11-24; 24=2026-12-01; 25=2026-12-02; 26=2026-12-03
# DICT sector_trend_state: 1=Declining — Avoid; 2=Momentum Building — Add; 3=Momentum Fading — Hold, Don't Add; 4=Recovering From Weakness — Watch for Entry
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	structure	structure_shift	sma_distance_pct	atr_14d	day_vol	mp_state	mp_accel_state	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	bracket.atr_fallback_stop	bracket.invalid_reason	high_52w	pct_from_52w_high	pivot_high	pct_from_pivot	rs_rank_pct	next_earnings_date
WFC	39	False	XLF	5	3	74.7	3	3.83	1.78	0.65	1	1	89.97	null	null	False	null	88.19	2	96.39	-6.66	89.53	0.49	52.77	7
MFC	80	False	XLF	5	3	54.7	4	3.08	0.78	0.36	1	1	44.34	null	null	False	null	43.56	2	44.77	-0.96	44.75	-0.92	78.84	null
CDW	14	False	XLK	10	2	86.3	1	8.88	6.65	0.77	3	1	152.38	null	null	False	null	145.73	2	170.77	-10.77	142.97	6.58	70.48	null
PRM	131	False	XLB	8	1	33.7	4	-4.58	1.48	1.1	2	2	31.76	null	null	False	null	30.28	2	37.78	-15.93	32.57	-2.49	80.57	null
MU	35	False	XLK	10	2	56.6	4	8.35	54.84	1.27	1	1	1016.59	null	null	False	null	961.75	2	1213.56	-16.23	1036.13	-1.89	99.38	5
ORCL	38	False	XLK	10	2	67.4	2	13.55	6.77	1.18	1	2	158.78	148.31	4	True	6.59	152.01	null	328.33	-51.64	159.26	-0.3	38.99	2
GDDY	23	False	XLK	10	2	76.8	4	8.41	4.2	0.9	2	1	101.31	null	null	False	null	97.11	2	148.88	-31.95	101.99	-0.67	45.63	null
STM	114	False	XLK	10	2	31.4	3	-9.9	2.12	1.0	1	1	52.24	49.88	1	True	4.52	50.12	null	79.91	-34.63	51.4	1.63	92.0	null
APP	124	False	XLK	10	2	42.1	2	-18.55	17.31	0.69	1	1	320.56	303.17	8	True	5.42	303.25	null	733.6	-56.3	335.45	-4.44	0.62	null
AUR	129	False	XLK	10	2	13.7	4	0.04	0.37	0.71	1	2	6.34	null	null	False	null	5.97	2	8.4	-24.52	7.16	-11.45	85.79	null
SNOW	77	False	XLK	10	2	68.4	4	13.41	17.99	1.65	2	2	337.18	null	null	False	null	319.19	2	356.47	-5.41	341.95	-1.39	95.33	25
