# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT sector_trend_state: 1=Momentum Building — Add; 2=Momentum Fading — Hold, Don't Add; 3=Recovering From Weakness — Watch for Entry
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	choch_state	day_vol	elder_5d	elder_context.vcp.base_range_pct	elder_context.vcp.vcp_tightness_pct	inside_bar	ma_20	ma_200	ma_50	mp_accel_state	mp_state	pin_bar_state	sc_momentum	sector_trend_state	sma_distance_pct	squeeze_breakout_state	squeeze_breakout_volume_confirmed	structure_shift	was_squeezed
SNDK	1816.57	1	False	116.49	30	2	0.71	[5, 10, 10, 10, 10]	28.3	70.1	True	1636.43	1092.52	1506.65	1	1	NONE	60.6	2	20.57	NONE	False	3	False
RBRK	115.57	2	False	5.97	50	2	0.7	[10, 10, 10, 10, 10]	30.0	45.1	False	98.52	70.88	90.98	1	1	NONE	71.3	2	27.03	NONE	False	1	False
KLAC	187.86	1	False	8.43	24	1	0.93	[3, 7, 8, 10, 10]	14.0	85.6	True	178.03	175.28	190.27	1	1	NONE	58.7	2	-1.26	NONE	False	2	False
GLBE	41.24	1	False	1.48	39	1	1.15	[5, 6, 10, 10, 10]	17.6	79.0	True	38.24	35.55	39.06	1	1	NONE	60.0	3	5.57	NONE	False	4	False
SSRM	36.3	3	False	1.6	null	1	1.31	[5, 5, 6, 8, 2]	null	null	False	36.88	29.01	32.7	2	2	NONE	67.1	3	11.01	NONE	False	4	True
FAST	50.99	1	False	1.01	null	2	1.27	[3, 3, 5, 8, 9]	7.8	64.6	False	49.51	45.92	49.22	1	1	NONE	62.5	3	3.6	NONE	False	4	False
LRCX	307.28	1	False	15.65	null	1	1.04	[0, 3, 5, 10, 10]	19.3	79.5	True	296.88	269.43	305.26	1	1	NONE	50.6	2	0.66	NONE	False	2	False
ALGM	35.11	1	False	1.86	25	1	1.11	[2, 5, 7, 8, 9]	15.8	62.0	False	35.35	39.97	40.13	1	1	NONE	44.2	2	-12.51	NONE	False	2	True
MRVL	260.9	2	True	14.08	48	2	0.62	[10, 10, 10, 10, 10]	28.0	42.7	True	231.17	160.86	218.04	1	1	NONE	68.7	2	19.66	NONE	False	1	False
DRS	37.41	1	False	1.17	25	1	0.68	[5, 5, 8, 6, 8]	12.2	39.8	True	37.22	42.11	41.71	1	1	NONE	53.1	3	-10.3	NONE	False	2	True
TXN	272.62	1	False	8.46	23	1	0.91	[2, 7, 9, 10, 10]	9.7	61.8	False	262.18	245.31	271.88	1	1	NONE	61.2	2	0.27	NONE	False	2	True
ETN	438.76	2	False	14.53	28	2	0.85	[5, 9, 10, 10, 10]	14.2	57.6	True	411.79	385.84	417.68	1	1	NONE	71.8	3	5.05	NONE	False	3	False
MSFT	500.59	2	False	11.1	24	2	0.9	[5, 3, 6, 6, 7]	6.3	57.9	False	499.41	431.86	471.46	2	2	NONE	65.8	2	6.18	NONE	False	4	True
HCA	436.48	1	False	12.88	null	2	0.85	[9, 6, 6, 9, 10]	12.0	44.1	False	420.88	447.82	409.1	2	2	NONE	63.6	3	6.69	NONE	False	2	False
PLTR	191.79	2	False	7.08	27	2	1.28	[7, 7, 8, 8, 10]	16.3	73.0	False	177.46	151.93	161.65	1	1	NONE	76.0	2	18.65	NONE	False	3	False
VIA	29.54	2	False	1.35	36	2	1.3	[7, 8, 8, 8, 8]	17.8	74.3	False	27.4	20.65	24.26	1	2	NONE	77.9	2	21.77	BREAKOUT_UP	True	3	True
SW	46.49	1	False	1.48	29	1	1.0	[5, 4, 8, 9, 10]	19.1	35.5	False	45.37	42.99	46.6	1	1	NONE	35.9	3	-0.23	NONE	False	4	False
WMT	110.53	1	False	2.06	40	2	0.86	[3, 2, 4, 9, 9]	8.4	56.5	False	106.68	118.63	109.62	1	1	NONE	56.3	3	0.83	NONE	False	3	False
DHR	221.7	2	False	5.81	null	2	0.85	[7, 7, 10, 10, 10]	11.5	67.5	False	210.54	201.82	205.04	2	1	NONE	71.3	3	8.12	NONE	False	3	False
TJX	131.64	1	False	2.93	39	1	0.93	[3, 5, 7, 8, 9]	12.6	57.5	True	129.85	153.36	144.11	1	1	NONE	40.6	3	-8.65	NONE	False	2	False
TEL	214.47	1	False	6.02	29	2	0.68	[5, 7, 9, 9, 10]	7.5	91.5	False	206.37	215.08	207.46	1	1	NONE	62.5	2	3.38	NONE	False	3	True
ASX	43.93	2	False	1.82	25	2	0.83	[8, 10, 10, 10, 10]	22.1	68.2	False	39.36	29.66	38.22	1	1	NONE	74.3	2	14.94	NONE	False	1	False
TH	21.2	2	False	0.95	30	2	0.52	[10, 10, 10, 10, 7]	26.2	44.9	True	19.34	13.57	17.61	1	3	NONE	77.0	3	20.41	NONE	False	1	False
CRWD	262.49	2	True	12.94	48	2	1.01	[10, 7, 10, 7, 10]	36.9	35.5	False	225.55	148.84	210.61	1	3	NONE	76.2	2	24.64	NONE	False	1	False
STX	923.86	2	False	53.47	24	2	0.85	[3, 5, 10, 10, 10]	21.1	85.0	True	842.55	628.97	844.77	1	1	NONE	66.7	2	9.36	NONE	False	4	True
FTNT	178.74	2	True	7.02	29	2	0.73	[10, 7, 10, 7, 10]	18.1	42.2	False	165.54	115.27	161.03	1	3	NONE	82.5	2	11.0	NONE	False	1	False
S	24.1	2	False	1.14	50	2	0.75	[10, 7, 10, 10, 10]	24.1	37.8	False	21.6	16.38	20.85	1	1	NONE	68.1	2	15.61	NONE	False	1	False
NVDA	225.51	2	False	6.15	39	2	0.65	[5, 6, 7, 10, 10]	11.6	49.3	False	221.15	199.06	215.38	1	1	NONE	68.9	2	4.7	NONE	False	4	False
SDGR	29.23	2	False	1.72	29	2	1.55	[10, 10, 10, 10, 7]	51.6	52.2	False	22.8	15.54	19.26	1	2	NONE	78.8	3	51.77	NONE	False	1	False
HPE	62.33	1	False	3.46	50	2	0.54	[10, 10, 10, 7, 10]	33.2	34.2	False	56.52	35.51	53.27	1	1	NONE	58.8	2	17.02	NONE	False	3	False
FLS	77.18	1	False	2.36	23	1	0.85	[3, 3, 5, 6, 9]	19.8	33.1	False	76.1	76.3	75.92	1	1	NONE	55.9	3	1.66	NONE	False	4	False
IBKR	91.56	1	False	3.02	null	1	0.89	[3, 5, 6, 9, 9]	14.1	49.1	False	91.79	80.5	91.44	1	2	NONE	44.0	3	0.13	NONE	False	4	False
HON	212.57	1	False	4.78	null	1	0.76	[5, 5, 5, 8, 9]	11.7	35.8	False	208.97	230.1	224.03	1	1	NONE	49.6	3	-5.11	NONE	False	2	False
VSXY	83.34	1	False	4.02	51	1	0.33	[3, 5, 9, 10, 10]	25.5	55.8	False	80.02	65.2	84.97	1	1	NONE	36.7	3	-1.91	NONE	False	4	False
SNPS	413.06	1	False	14.33	54	1	1.0	[3, 3, 5, 9, 10]	24.8	44.0	False	404.79	445.7	400.54	1	1	NONE	51.8	2	3.13	NONE	False	4	False
AAPL	337.02	2	False	7.14	25	2	0.73	[10, 7, 10, 7, 7]	11.2	40.2	False	326.95	287.17	321.51	1	2	NONE	69.8	2	4.82	NONE	False	1	False
WBD	30.76	2	False	0.51	30	2	3.23	[5, 0, 10, 10, 10]	10.8	100.0	False	28.66	27.6	27.6	1	3	NONE	76.8	1	11.46	NONE	False	1	False
DJT	9.06	1	False	0.43	31	1	0.68	[3, 3, 6, 10, 10]	18.7	45.1	False	9.09	10.04	9.22	2	2	NONE	38.0	1	-1.71	NONE	False	4	False
ARM	332.56	2	False	18.19	29	2	1.46	[7, 10, 10, 10, 10]	39.7	68.9	False	262.52	210.15	262.76	1	3	NONE	74.6	2	26.56	NONE	False	1	False
TMO	665.3	2	False	15.09	24	2	1.11	[10, 10, 10, 10, 10]	12.1	30.9	False	628.12	539.16	598.76	2	1	NONE	71.1	3	11.11	NONE	False	1	False
UMC	24.68	2	False	1.02	24	2	0.9	[10, 10, 10, 10, 7]	32.0	31.8	False	21.96	15.22	20.51	1	3	NONE	75.3	2	20.34	NONE	False	1	False
FIVN	37.68	2	False	2.1	32	2	1.38	[8, 3, 10, 10, 10]	28.2	77.1	False	33.59	22.11	30.89	1	1	NONE	66.7	2	22.0	NONE	False	1	False
ZS	214.45	2	False	9.61	43	2	0.69	[10, 10, 10, 10, 10]	30.2	44.4	False	184.44	167.83	171.59	1	3	NONE	70.6	2	24.98	NONE	False	1	False
MAR	351.66	1	False	7.46	28	1	1.0	[5, 7, 8, 9, 10]	11.7	54.3	False	339.88	347.19	353.54	1	1	NONE	55.3	3	-0.53	NONE	False	4	False
TSM	446.57	2	False	10.77	null	2	1.03	[5, 9, 10, 10, 10]	10.5	64.3	True	427.35	381.64	418.73	1	1	NONE	72.3	2	6.65	NONE	False	3	False
AMBA	67.62	1	False	4.27	48	2	1.85	[5, 5, 9, 9, 9]	21.9	45.5	False	66.89	68.36	71.75	1	1	NONE	28.4	2	-5.76	NONE	False	2	True
MSTR	162.2	2	False	9.26	25	2	0.79	[2, 10, 10, 10, 7]	34.5	84.3	False	138.11	136.75	115.09	2	2	NONE	71.0	2	40.93	NONE	False	1	False
NTRA	390.79	2	True	12.67	30	2	1.23	[10, 10, 10, 10, 10]	22.2	56.5	False	343.13	242.87	311.02	1	3	NONE	79.1	3	25.65	NONE	False	1	False
KLIC	90.85	2	False	4.33	39	2	1.09	[5, 7, 9, 10, 10]	19.4	66.9	False	82.57	81.48	89.45	1	1	NONE	66.0	2	1.56	NONE	False	1	True
BETA	24.34	1	False	1.62	null	2	0.56	[5, 3, 10, 10, 10]	24.5	71.9	False	21.16	20.24	21.38	1	1	NONE	49.7	3	13.84	NONE	False	1	True
META	744.1	2	False	26.14	24	2	1.43	[7, 7, 10, 10, 10]	31.5	46.0	False	641.76	625.53	612.08	1	3	NONE	68.3	1	21.57	NONE	False	1	False
QQQ	741.21	2	False	9.93	null	2	1.02	[5, 8, 9, 10, 10]	6.7	71.8	False	718.22	664.41	711.42	1	1	NONE	69.4	null	4.19	NONE	False	1	False
FLEX	112.3	1	False	5.39	29	1	1.21	[5, 2, 7, 9, 9]	14.0	52.7	False	110.4	98.04	115.66	1	1	NONE	45.7	2	-2.9	NONE	False	2	True
ADI	385.23	1	False	11.45	43	2	0.92	[5, 8, 10, 10, 10]	11.5	69.3	False	367.44	355.4	373.09	1	1	NONE	64.1	2	3.25	NONE	False	3	False
DOCS	26.57	1	False	1.15	30	1	0.93	[7, 7, 8, 8, 8]	13.7	52.9	True	25.98	27.41	24.28	1	1	NONE	61.3	3	9.45	NONE	False	4	True
