# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT sector_trend_state: 1=Declining — Avoid; 2=Momentum Building — Add; 3=Momentum Fading — Hold, Don't Add; 4=Recovering From Weakness — Watch for Entry
ticker	ma_20	ma_50	ma_100	ma_200	sma_distance_pct	mp_state	sector_trend_state	entry	bracket.stop	atr_caution	bracket.valid	bracket.atr_fallback_stop	bracket.invalid_reason	ma_40	cci_20	extension_atr_20
TSM	420.96	420.54	416.59	373.64	4.39	1	3	439.0	420.96	False	True	427.2	null	415.05	187.59	1.53
CVNA	72.67	69.02	70.32	73.08	8.26	2	4	74.72	null	False	False	71.24	1	69.57	65.8	0.59
KLAC	187.68	204.57	202.99	171.9	-7.62	1	3	188.98	null	False	False	179.95	1	194.81	6.34	0.14
CVE	31.92	29.32	28.66	24.68	13.21	2	3	33.19	null	False	False	32.22	1	30.27	109.5	1.31
GPN	91.69	85.03	77.16	75.76	5.16	2	4	89.42	null	False	False	86.46	1	87.47	-60.99	-0.77
APH	80.91	80.51	76.41	72.94	1.55	1	3	81.76	null	False	False	78.92	1	80.13	48.73	0.3
RBLX	39.21	45.25	46.64	59.63	-0.96	1	3	44.82	null	False	False	42.56	1	42.62	231.82	2.48
COHU	52.53	53.2	52.65	40.49	-0.06	1	3	53.17	49.38	False	True	49.49	null	51.59	-0.0	0.17
PBR-A	17.01	16.37	16.93	15.62	15.24	3	3	18.86	null	False	False	18.31	1	16.7	151.13	3.36
KNX	69.91	72.1	71.39	63.48	-1.81	1	4	70.79	68.32	False	True	68.35	null	71.11	63.14	0.36
BKR	63.48	60.11	61.97	58.58	6.34	2	3	63.92	null	False	False	62.33	1	61.23	41.91	0.28
VRT	270.8	282.44	303.26	258.03	2.97	1	4	290.83	null	False	False	276.72	1	274.44	101.84	1.42
ORCL	148.88	140.12	164.6	168.5	15.99	1	3	162.52	148.88	False	True	155.38	null	139.66	226.91	1.91
ETR	107.04	110.17	111.15	105.58	-1.49	1	2	108.53	null	False	False	106.53	1	109.05	98.49	0.74
TSLA	350.3	357.72	381.24	399.39	2.92	1	4	368.16	350.3	False	True	352.85	null	345.22	108.16	1.17
VST	142.32	149.41	152.09	157.65	1.55	1	2	151.72	null	False	False	146.26	1	147.56	169.55	1.72
HOOD	104.44	102.83	94.02	95.11	14.11	1	4	117.34	null	False	False	110.63	1	100.92	147.17	1.92
CRM	223.5	193.47	184.86	200.82	28.77	2	3	249.12	null	False	False	238.58	1	200.76	66.47	2.43
VRNS	43.45	43.92	37.08	32.65	3.51	2	3	45.46	null	False	False	43.3	1	43.92	85.43	0.93
AEP	124.09	129.02	130.01	126.9	-2.79	1	2	125.42	null	False	False	123.27	1	127.2	56.19	0.62
