# DICT bracket.targets fields (in order): type,price,date,atr_dist,vol_ratio,vol_validated,tp,r; type codes: {'resistance': 'R', 'support': 'S', 'prior_high': 'P', 'fib_1272': 'A', 'fib_1618': 'B', 'fib_2618': 'C', 'fib_2000': 'D'}
# DICT bracket.invalid_reason: 1=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma200; 6=ma50; 7=ma_cluster; 8=swing_low; 9=swing_low_1; 10=swing_low_2; 11=swing_low_3
# DICT choch_state: 1=BEARISH; 2=BULLISH
# DICT elder_pattern: 1=ACCELERATION; 2=ACCUMULATION_BASE; 3=CORRECTION_REENTRY; 4=INTERRUPTED; 5=SUSTAINED
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT source: 1=elder_list; 2=longlist; 3=qs; 4=radar-premove
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	entry	source	held	atr_14d	days_to_earnings	bracket.invalid_reason	bracket.risk_pct	bracket.rr	bracket.rr_tp1	bracket.stop	bracket.stop_type	bracket.targets	bracket.valid	choch_state	elder_5d	elder_pattern	ma_20	ma_50	malformed_bracket	mp_state	pin_bar_level	pin_bar_state	structure_shift
NXPI	237.57	1	False	7.92	24	null	4.63	3.9	0.09	226.57	4	R@238.6@260911@0.13@1.02@F@TP1@0.09|R@280.46@260723@5.41@1.05@F@TP2@3.9|R@298.04@260709@7.63@0.83@F@TP3@5.5|R@306.62@260511@8.71@1.19@F@n@6.28|P@339.95@n@12.92@n@n@n@9.31|A@354.96@n@14.81@n@n@n@10.67|B@374.05@n@17.22@n@n@n@12.41|D@395.12@n@19.88@n@n@n@14.32|C@429.22@n@24.18@n@n@n@17.42	True	1	[2, 7, 7, 9, 10]	1	226.57	238.64	null	1	null	NONE	2
JCI	146.44	1	False	3.64	30	1	null	null	null	null	null	R@147.05@260909@0.17@1.03@F@n@n|R@149.38@260618@0.81@1.69@T@n@n|R@157.06@260805@2.92@1.33@T@n@n|A@162.72@n@4.47@n@n@n@n|B@169.93@n@6.46@n@n@n@n|D@177.88@n@8.64@n@n@n@n|C@190.75@n@12.18@n@n@n@n	False	2	[3, 3, 7, 9, 9]	1	142.22	144.79	null	1	null	NONE	4
LLY	1170.48	1	False	30.81	26	1	null	null	null	null	null	R@1182.73@260608@0.4@1.39@T@n@n|R@1232.0@260728@2.0@0.98@F@n@n|R@1249.45@260707@2.56@0.88@F@n@n|R@1292.65@260819@3.97@1.63@T@n@n|A@1327.78@n@5.11@n@n@n@n|B@1372.46@n@6.56@n@n@n@n|D@1421.8@n@8.16@n@n@n@n|C@1501.61@n@10.75@n@n@n@n	False	1	[3, 5, 5, 9, 9]	1	1154.97	1176.66	null	1	null	NONE	4
MU	1096.16	2	False	50.5	null	null	9.58	2.2	1.51	991.1	8	R@1255.0@260625@3.15@1.47@T@TP1@1.51|A@1326.78@n@4.57@n@n@TP2@2.2|B@1418.09@n@6.37@n@n@TP3@3.06|D@1518.9@n@8.37@n@n@n@4.02|C@1681.99@n@11.6@n@n@n@5.58	True	2	[0, 5, 9, 10, 10]	1	972.75	931.73	null	1	null	NONE	1
OKTA	196.62	2	False	9.53	49	1	null	null	null	null	null	P@198.09@n@0.15@n@n@n@n|A@217.26@n@2.17@n@n@n@n|B@241.64@n@4.72@n@n@n@n|D@268.57@n@7.55@n@n@n@n|C@312.13@n@12.12@n@n@n@n	False	2	[10, 7, 7, 7, 10]	3	172.56	155.11	null	3	null	NONE	1
NET	352.94	2	False	17.87	26	1	null	null	null	null	null	P@356.23@n@0.18@n@n@n@n|A@379.87@n@1.51@n@n@n@n|B@409.95@n@3.19@n@n@n@n|D@443.16@n@5.05@n@n@n@n|C@496.88@n@8.06@n@n@n@n	False	2	[10, 10, 7, 10, 10]	3	307.9	295.07	null	1	null	NONE	1
TMO	658.52	2	False	15.03	25	1	null	null	null	null	null	P@663.57@n@0.34@n@n@n@n|A@682.27@n@1.58@n@n@n@n|B@706.06@n@3.16@n@n@n@n|D@732.32@n@4.91@n@n@n@n|C@774.81@n@7.74@n@n@n@n	False	2	[10, 10, 10, 10, 10]	5	626.26	596.13	null	2	null	NONE	3
WBD	30.83	2	False	0.53	31	1	null	null	null	null	null	P@30.92@n@0.17@n@n@n@n|A@32.46@n@3.06@n@n@n@n|B@34.42@n@6.75@n@n@n@n|D@36.59@n@10.83@n@n@n@n|C@40.09@n@17.41@n@n@n@n	False	2	[3, 5, 0, 10, 10]	1	28.57	27.53	null	3	null	NONE	1
AVGO	364.54	1	False	11.74	55	null	3.97	2.97	0.83	350.06	10	R@376.59@260828@1.03@0.85@F@TP1@0.83|R@407.52@260709@3.66@0.92@F@TP2@2.97|R@414.64@260622@4.27@0.74@F@TP3@3.46|R@429.31@260423@5.52@0.86@F@n@4.47|P@495.0@n@11.11@n@n@n@9.01|A@519.53@n@13.2@n@n@n@10.7|B@550.74@n@15.86@n@n@n@12.86|D@585.2@n@18.79@n@n@n@15.24|C@640.94@n@23.54@n@n@n@19.09	True	1	[0, 3, 5, 7, 9]	4	359.32	378.62	null	1	null	NONE	2
PLTR	184.99	2	False	6.79	28	null	4.58	2.66	0.4	176.51	4	R@188.37@260828@0.5@0.53@F@TP1@0.4|A@207.54@n@3.32@n@n@TP2@2.66|B@231.93@n@6.91@n@n@TP3@5.54|D@258.85@n@10.87@n@n@n@8.71|C@302.41@n@17.29@n@n@n@13.85	True	2	[6, 7, 7, 8, 8]	2	176.51	160.48	null	1	null	NONE	4
